Occurrence Date,Occurrence Hour,NIBRS Description,,Offense Count,Beat,Premise,Block Range,Street Name,Street Type,Suffix
9/1/18,10,Intimidation,,1,1A40,"Residence, Home (Includes Apartment)",2400-2499,RIVER OAKS,BLVD,
9/1/18,10,Intimidation,,1,24C60,"Residence, Home (Includes Apartment)",14400-14499,COTTAGE TIMBERS,LN,
9/1/18,10,"Burglary, Breaking and Entering",,1,12D60,"Residence, Home (Includes Apartment)",700-799,EL DORADO,BLVD,
9/1/18,10,All other larceny,,1,1A20,"Other, Unknown",2100-2199,BAGBY,ST,
9/1/18,10,Simple assault,,1,18F20,Shopping Mall,5000-5099,WESTHEIMER,RD,
9/1/18,10,Simple assault,,1,1.60E+11,"Residence, Home (Includes Apartment)",11900-11999,OAKMOOR,PKWY,
9/1/18,10,All other larceny,,1,13D40,"Residence, Home (Includes Apartment)",11500-11599,PEARLAND,PKWY,
9/1/18,10,All other larceny,,1,1A50,"Hotel, Motel, ETC",1900-1999,BRIAR OAKS,LN,
9/1/18,10,"Burglary, Breaking and Entering",,1,6B30,"Parking Lot, Garage",7900-7999,STREAMSIDE,DR,
9/1/18,10,Motor vehicle theft,,1,5F20,"Parking Lot, Garage",1800-1899,WIRT,RD,
9/1/18,10,Simple assault,,1,7C10,"Residence, Home (Includes Apartment)",5300-5399,COKE,ST,
9/1/18,10,"Credit card, ATM fraud",,1,1.60E+31,"Other, Unknown",14500-14599,POST OAK,RD,S
9/1/18,10,Intimidation,,1,5F30,"Residence, Home (Includes Apartment)",6000-6099,HOLLISTER,ST,
9/1/18,11,"Counterfeiting, forgery",,1,20G10,"Other, Unknown",8700-8799,TOWN PARK,DR,
9/1/18,11,"Drug, narcotic violations",,1,6B20,"Highway, Road, Street, Alley",1100-1199,TIDWELL,RD,W
